SENARAI STESEN ARAS AIR (WATER LEVEL) DI RANGKAIAN HIDROLOGI NASIONAL,,,,,
,,,,,
STATION NO,STATION NAME,FUNCTION,STATE,LATITUDE,LONGITUDE
1636401,Sg.Skudai di Kg.Separa,WL,Johor,01 39 00,103 37 10
1730482,Senggarang,WL,Johor,01 43 00,103 03 49
1732401,Parit Madirono di Weir,WL,Johor,01 41 30,103 16 15
1737451,Sg. Johor di Rantau Panjang,WL,Johor,01 46 50,103 44 45
1829478,Batu Pahat,WL,Johor,01 51 10,102 55 35
1834453,Sg. Sayong At Layang-Layang,WL,Johor,01 49 20,103 28 20
1836401,Sg. Linggui di Ran.Tanah Jengli,WL,Johor,01 53 45,103 41 30
1836402,Sg. Sayong di Jam. Johor Tenggara,WL,Johor,01 48 15,103 40 10
1836403,Sg. Pengeli di Felda Inas,WL,Johor,01 49 15,103 37 15
1839462,"Sg. Mupor At Bt.32, Mersing",WL,Johor,01 48 05,103 57 40
1929401,Sg. Simpang Kiri di Sri Medan,WL,Johor,01 59 35,102 58 00
1931423,Sg. Semborong di Bt.2 di Air Hitam/Y.Peng,WL,Johor,01 56 20,103 09 40
1931425,Kolam Air di Emp. Sembrong,WL,Johor,01 58 25,103 10 45
2030401,Sg. Bekok di Emp Bekok,WL,Johor,02 05 55,103 03 50
2030402,Sg. Bekok di Emp Yong Peng,WL,Johor,02 01 00,103 03 25
2039461,Sg. Sedili Besar At Ulu Sedili,WL,Johor,02 00 45,103 54 25
2130401,Sg. Lenik di Ladang Chaah,WL,Johor,02 11 15,103 00 15
2130422,Sg. Bekok di Bt.77 Jln. Yong Peng/Labis,WL,Johor,02 07 15,103 02 30
2230401,Sg. Lenik di Ladang Chaah,WL,Johor,02 11 15,103 00 55
2234475,Sg. Sembrong di Kuala Sg. Tamok,WL,Johor,02 14 30,103 24 00
2235401,Sg. Kahang di Bt.26 Jln. Kluang,WL,Johor,02 15 05,103 35 15
2237471,Sg. Lenggor di Bt.42 Kluang/Mersing,WL,Johor,02 15 30,103 44 10
2326424,Kolam Puteri,WL,Johor,02 22 02,102 36 15
2328401,Sg. Muar di Bukit Kepong,WL,Johor,02 02 50,102 49 45
2527411,Sg. Muar di Buloh Kasap,WL,Johor,02 33 20,102 45 50
2528414,Sg. Segamat di Segamat,WL,Johor,02 30 25,102 49 05
2529401,Sg. Juasseh di Kemalah,WL,Johor,02 30 00,102 56 53
2533474,Sg. Endau di Kuala Jemakah,WL,Johor,02 31 55,103 22 30
2626401,Sg. Muar di Kg. Awat,WL,Johor,02 37 55,102 37 35
5307401,Mahang,WL,Kedah,05 19 30,100 44 00
5606410,Sg. MUDA @ JAM. SYED OMAR,WL,Kedah,05 36 35,100 37 35
5608418,Sg. Ketil di Kuala Pegang,WL,Kedah,05 38 20,100 48 45
5609474,Sungai Ketil di Pulai,WL,Kedah,5 40 30.1,100 54 54.0
5708401,Sungai Ketil di Kampung Baru,WL,Kedah,5 47 15.36,100 53 46.6
5806414,Sg. Muda di Jeniang,WL,Kedah,05 49 10,100 37 55
6007415,Sg. Muda di Nami,WL,Kedah,06 03 20,100 46 00
6204401,Kepala Batas,WL,Kedah,6 12 11.4,100 24 48.6
6204421,Sg. Pdg Terap di lengkuas,WL,Kedah,06 12 45,100 27 15
6304450,Jeragan,WL,Kedah,6 23 42.0,100 26 37.44
6306435,Durian Burung,WL,Kedah,6 22 35.6,100 41 52.0
6397401,Sg. Perangin di Tg. Burau,WL,Kedah,06 22 11,099 40 21
6397402,Bukit Kemboja,WL,Kedah,06 21 15.44,99 45 16.87
6397403,Rubber Dam,WL,Kedah,06 21 07.18,99 43 19.70
6397405,Emp. Padang Saga,WL,Kedah,06 22 16.36,99 46 12.86
6397411,Padang Matsirat,WL,Kedah,06 21 20.98,99 44 07.74
6398421,Sg. Batu Asah di Kg. Kelibang,WL,Kedah,06 20 18,099 48 48
6398431,Sg. Air Tawar di Ladang Sg. Raya,WL,Kedah,06 22 03,099 51 51
6404410,Padang Pasir,WL,Kedah,6 25 55.6,100 25 15.3
6405401,Sungai Temin di UUM Sintok,WL,Kedah,6 28 19.4,100 30 11.7
5120401,Sg. Nenggiri di Jam. Bertam,WL,Kelantan,05 08 55,102 02 45
5222452,Sg. Lebir di Kg. Tualang,WL,Kelantan,05 16 30,102 16 00
5320443,Sg. Galas di Dabong,WL,Kelantan,05 22 55,102 00 55
5419401,Sg. Pergau di Batu Lembu,WL,Kelantan,05 25 05,101 56 45
5521444,Sg. Kelantan di Kuala Krai,WL,Kelantan,05 32 05,102 10 50
5621401,Sg. Sokor di Kg. Tegawan,WL,Kelantan,05 37 45,102 06 05
5622401,Sg. Nal At Lubok Pauh,WL,Kelantan,05 38 10,102 16 05
5718401,Sg. Lanas di Air Lanas,WL,Kelantan,05 47 10,101 53 30
5721442,Sg. Kelantan di Jam. Guillemard/kusial,WL,Kelantan,05 45 45,102 09 00
5818401,Sg. Golok di Jenob,WL,Kelantan,05 50 25,101 53 30
5824401,Sg. Semerak di Pasir Putih,WL,Kelantan,05 51 35,102 29 40
6019411,Sg. Golok di Rantau Panjang,WL,Kelantan,06 01 21,101 58 29.92
6021401,Sg. Lemal At Repek Jam. Jln. Raya,WL,Kelantan,06 00 50,102 06 10
6022421,Sg. Kemasin At Peringat,WL,Kelantan,06 01 50,102 17 10
6120401,Sg. Golok di Kuala Jambu,WL,Kelantan,06 09 50,102 05 45
6122441,Sg. Kelantan di Jeti Kastam,WL,Kelantan,06 08 00,102 14 00
2122411,Sg. Melaka di Jam. Tan Kim Seng,WL,Melaka,02 11 40.38,102 14 54.88
2222401,Lencongan Sg.Malim di Klebang Besar D/S,WL,Melaka,02 13 58,102 12 10
